"menu_pk","menu_uppk","menu_status","menu_p_type","menu_p_use","menu_level","menu_soft","menu_name","menu_title","menu_remark1","menu_page","menu_remark2","menu_url_path","menu_url_file","menu_url_para","menu_flag","menu_count"
"1","0","1","x","0","1","50","","","","","","","","","","116"
"2","0","1","x","0","1","50","A.客戶管理","A.客戶管理","","","","","#","","","0"
"3","2","1","x","0","2","50","A.資料設定","A.資料設定","","","","","#","","","0"
"4","3","1","u","1","3","50","1.申請性質登錄","1.申請性質登錄","","","","","index.php","[_quest_]pro=a_a","","127"
"5","3","1","u","5","3","50","2.公告行業別登錄","2.公告行業別登錄","","","","","index.php","[_quest_]pro=a_b","","48"
"6","2","1","x","0","2","50","---","A.資料設定 ---","","","","","","","","0"
"7","2","1","x","0","2","50","B.接單作業","B.接單作業","","","","","#","","","0"
"8","7","1","u","316","3","50","1.接單申請資料","1.接單申請資料","","","","","index.php","[_quest_]pro=_cus_occ_apply_p001","","2"
"9","2","1","u","9","2","50","C.客戶基本資料登錄","C.客戶基本資料登錄","","","","","index.php","[_quest_]pro=a_c","","69961"
"10","2","1","x","0","2","50","---","C.客戶基本資料登錄 ---","","","","","","","","0"
"11","2","1","r","134","2","50","F.客戶基本資料卡","F.客戶基本資料卡","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","a_f.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","1158"
"12","2","1","r","135","2","50","G.客戶基本資料一覽表","G.客戶基本資料一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","a_g.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","1027"
"13","2","1","x","0","2","50","---","G.客戶基本資料一覽表 ---","","","","","","","","0"
"14","2","1","x","0","2","50","K.客戶服務記錄登錄","K.客戶服務記錄登錄","","","","","#","","","0"
"15","14","1","u","13","3","50","1.服務項目登錄","1.服務項目登錄","","","","","index.php","[_quest_]pro=a_k_1","","665"
"16","14","1","u","17","3","50","2.客戶服務記錄登錄","2.客戶服務記錄登錄","","","","","index.php","[_quest_]pro=a_k_2","","27606"
"17","14","1","x","0","3","50","3.服務記錄報表","3.服務記錄報表","","","","","#","","","0"
"18","17","1","r","136","4","50","1.客戶服務記錄一覽表","1.客戶服務記錄一覽表","","report_page","","http://[_hostIP_]:8080/birt_260_100901/[_reportPath_]/","a_k_3_1.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","2358"
"19","17","1","r","137","4","50","2.近期未服務記錄一覽表","2.近期未服務記錄一覽表","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","a_k_3_2.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","256"
"20","14","1","x","0","3","50","---","3.服務記錄報表 ---","","","","","","","","0"
"21","14","8","x","0","3","50","7.滿意度調查(評鑑)","7.滿意度調查(評鑑)","","","","","#","","","0"
"22","21","1","r","128","4","50","7_1.客戶滿意度調查(評鑑)","7_1.客戶滿意度調查(評鑑)","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","a_k_7_7.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","32"
"23","21","1","r","129","4","50","8.外勞滿意度調查(評鑑)-英.越.泰.印","8.外勞滿意度調查(評鑑)-英.越.泰.印","","report_page","","http://[_hostIP_]:8080/birt/[_reportPath_]/","a_k_7_8.jsp","[_quest_]u=[_un_][_and_]login_company_num=[_login_company_num_][_and_]selfileUrl=[_selfileUrl_][_and_]fomstype=[_fomsType_]","","26"
"24","0","1","x","0","1","50","B.供應商管理","B.供應商管理","","","","","#","","","0"
"25","24","1","u","21","2","50","A.供應商基本資料登錄","A.供應商基本資料登錄","","","","","index.php","[_quest_]pro=b_a","","4155"
"26","24","1","u","173","2","50","B.外勞貸款銀行管理","B.外勞貸款銀行管理","","newWin","","procedures/","pro_d_a_1_mlb.php","","","98"
"27","0","1","x","0","1","50","C.案件管理","C.案件管理","","","","","#","","","0"
"28","27","1","x","0","2","50","A.資料設定","A.資料設定","","","","","#","","","0"
"29","28","1","u","25","3","50","1.勞委會開放各波次記錄","1.勞委會開放各波次記錄","","","","","index.php","[_quest_]pro=c_a_1","","125"
"30","28","1","u","29","3","50","2.作業科目流程設定","2.作業科目流程設定","","","","","index.php","[_quest_]pro=c_a_2","","157"
"31","28","1","u","33","3","50","3.入境前辦件流程及時間設定","3.入境前辦件流程及時間設定","","","","","index.php","[_quest_]pro=c_a_3","","72"
